S_NO,NAME_OF_THE_VESSEL,QUANTITY,DISCHARGE_COMPLETED,PORT,pono,SUPPLIER,,A,B,C
8,M.V. EVER MIGHTY,67330,30.06.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,30,6,15
9,M.V REBORN,69371,03.07.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,3,7,15
10,M.V PANAMAX STERLING,67633,08.07.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,8,7,15
11,M.V OCEAN PRINCE,70458,10.07.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,10,7,15
12,M.V ATLANTIC,69817,14.07.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,14,7,15
13,M.V OCEAN AMBER,69811,23.07.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,23,7,15
14,M.V ATLAS,67880,25.07.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,25,7,15
15,M.V OCEAN SAKURA,45942,07.08.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,7,8,15
16,M.V ZHENG BANG,67650,20.08.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,20,8,15
17,M.V GRM PRINCESS,72000,21.09.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,21,9,15
18,M.V TAI HANG 8,69821,21.10.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,21,10,15
19,M.V IKAN SAGAI,56561,18.11.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,18,11,15
20,M.V TAI HANG 1,68700,20.11.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,20,11,15
21,M.V LOWLANDS MAINE,70200,28.11.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,28,11,15
22,M.V EVER MIGHTY,67350,03.12.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,3,12,15
23,M.V SITC HENGSHAN,72683,20.12.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,20,12,15
24,M.V CARINA,68247,31.12.15,ENNORE ,101,m/s_mstc_ltd_kolkata,,31,12,15
25,M.V EVER LEADER,66498,20.01.16,ENNORE ,101,m/s_mstc_ltd_kolkata,,20,1,16
26,M.V SAM JOHN AMITY,67679,22.02.16,ENNORE ,101,m/s_mstc_ltd_kolkata,,22,2,16
27,M.V. NAVIOUS HARMONY,72971,22.03.16,ENNORE ,101,m/s_mstc_ltd_kolkata,,22,3,16
28,M.V. TINA,73693,29.03.16,ENNORE ,101,m/s_mstc_ltd_kolkata,,29,3,16
29,M.V COMMON CALYPSO,40461,01.04.16,ENNORE ,101,m/s_mstc_ltd_kolkata,,1,4,16
30,M.V STAR FIGHTER,33141,02.05.16,ENNORE ,101,m/s_mstc_ltd_kolkata,,2,5,16
1,M.V Q SHEA,76811,10.04.16,ENNORE ,104,m/s_chettinad_logist,,10,4,16
2,M.V NAVIOUS ALTAIR,80706,27.04.16,ENNORE ,104,m/s_chettinad_logist,,27,4,16
3,M.V CAPE KENNEDY,78737,05.05.16,ENNORE ,104,m/s_chettinad_logist,,5,5,16
4,M.V ANTONIO S,78999,27.05.16,ENNORE ,104,m/s_chettinad_logist,,27,5,16
5,M.V IOLCOS GENESIS,81300,22.06.16,ENNORE ,104,m/s_chettinad_logist,,22,6,16
6,M.V LALIS D,8515,28.07.16,ENNORE ,104,m/s_chettinad_logist,,28,7,16
7,M.V. DARYA BAKTHI,54999,25.03.16,TUTICORIN ,104,m/s_chettinad_logist,,25,3,16
8,M.V. SOLDOY,55018,09.04.16,TUTICORIN ,104,m/s_chettinad_logist,,9,4,16
9,M.V. WHITEFIN,54432,26.05.16,TUTICORIN ,104,m/s_chettinad_logist,,26,5,16
10,M.V. LALIS D,45000,11.07.16,TUTICORIN ,104,m/s_chettinad_logist,,11,7,16
1,M.V NORD SUN,74470,14.05.16,ENNORE,107,m/s_adani_global_pte,,14,5,16
2,M.V RONADI,77000,28.05.16,ENNORE,107,m/s_adani_global_pte,,28,5,16
3,M.V DANSAS,77000,10.06.16,ENNORE,107,m/s_adani_global_pte,,10,6,16
4,M.V  BLESSED LUCK,72100,07.07.16,ENNORE,107,m/s_adani_global_pte,,7,7,16
5,M.V CANON TRADER II,76928,02.08.16,ENNORE,107,m/s_adani_global_pte,,2,8,16
6,M.V MANGAN TRADER II,76580,10.09.16,ENNORE,107,m/s_adani_global_pte,,10,9,16
7,M.V PANCLOVER,77000,20.10.16,ENNORE,107,m/s_adani_global_pte,,20,10,16
8,M.V TRADE WILL,76100,24.10.16,ENNORE,107,m/s_adani_global_pte,,24,10,16
9,M.V ARIANA,70082,15.11.16,ENNORE,107,m/s_adani_global_pte,,15,11,16
10,M.V DANAE,69061,21.11.16,ENNORE,107,m/s_adani_global_pte,,21,11,16
11,M.V ELENI P,71375,24.12.16,ENNORE,107,m/s_adani_global_pte,,24,12,16
12,M.V NAVIOUS ASTERIKS,75000,09.01.17,ENNORE,107,m/s_adani_global_pte,,9,1,17
13,M.V ULTRA COUGAR,77339,16.01.17,ENNORE,107,m/s_adani_global_pte,,16,1,17
14,M.V NORD VENUS,77000,28.01.17,ENNORE,107,m/s_adani_global_pte,,28,1,17
15,M.V. JUN HAO,70198,29.01.17,ENNORE,107,m/s_adani_global_pte,,29,1,17
16,M.V NAVIOS HELIOS,76520,15.02.17,ENNORE,107,m/s_adani_global_pte,,15,2,17
17,M.V NINGBO SEALION,74260,18.02.17,ENNORE,107,m/s_adani_global_pte,,18,2,17
18,M.V PUPPIS OCEAN,77000,22.02.17,ENNORE,107,m/s_adani_global_pte,,22,2,17
19,M.V SEAS 7,68495,03.03.17,ENNORE,107,m/s_adani_global_pte,,3,3,17
20,M.V NAVIOS STAR,74846,09.03.17,ENNORE,107,m/s_adani_global_pte,,9,3,17
21,M.V SAMOA,72419,13.04.17,ENNORE,107,m/s_adani_global_pte,,13,4,17
22,M.V VISHVA PREETHI,77300,20.04.17,ENNORE,107,m/s_adani_global_pte,,20,4,17
23,M.V CORONIS,72250,06.05.17,ENNORE,107,m/s_adani_global_pte,,6,5,17
24,M.V DANSAS,77000,26.05.17,ENNORE,107,m/s_adani_global_pte,,26,5,17
25,M.V ARETHUSA,71016,19.06.17,ENNORE,107,m/s_adani_global_pte,,19,6,17
1,M.V PANSOLAR,73370,03.06.16,ENNORE,108,m/s_mstc_ltd_kolkata,,3,6,16
2,M.V AUDAX,72153,15.06.16,ENNORE,108,m/s_mstc_ltd_kolkata,,15,6,16
3,M.V WANISA,73900,21.07.16,ENNORE,108,m/s_mstc_ltd_kolkata,,21,7,16
4,M.V ATLANTIC HAWK,71765,12.08.16,ENNORE,108,m/s_mstc_ltd_kolkata,,12,8,16
5,M.V YASA EAGLE,78381,06.09.16,ENNORE,108,m/s_mstc_ltd_kolkata,,6,9,16
6,M.V IRIS OLDENDORFF,61254,14.10.16,ENNORE,108,m/s_mstc_ltd_kolkata,,14,10,16
7,M.V LEMESSOS LION,71937,31.12.16,ENNORE,108,m/s_mstc_ltd_kolkata,,31,12,16
8,M.V DONA BIBI,79050,06.01.17,ENNORE,108,m/s_mstc_ltd_kolkata,,6,1,17
9,M.V TINA,73531,15.01.17,ENNORE,108,m/s_mstc_ltd_kolkata,,15,1,17
10,M.V GLOBE DANAE,77942,01.02.17,ENNORE,108,m/s_mstc_ltd_kolkata,,1,2,17
11,M.V AOM MILENA,72805,,ENNORE,108,m/s_mstc_ltd_kolkata,,25,2,17
12,M.V PANAMAX STERLING,76151,27.03.17,ENNORE,108,m/s_mstc_ltd_kolkata,,27,3,17
13,M.V SILVER NAVIGATOR,77103,04.04.17,ENNORE,108,m/s_mstc_ltd_kolkata,,4,4,17
14,M.V NORDIC TIANJIN,52608,07.04.17,ENNORE,108,m/s_mstc_ltd_kolkata,,7,4,17
15,M.V GALIO,78940,13.04.17,ENNORE,108,m/s_mstc_ltd_kolkata,,13,4,17
16,M.V SFL HUDSON,52022,10.05.17,ENNORE,108,m/s_mstc_ltd_kolkata,,10,5,17
17,M.V SINICA GRAECA,60500,06.06.17,ENNORE,108,m/s_mstc_ltd_kolkata,,6,6,17
18,M.V LONG BRIGHT,36150,12.06.17,ENNORE,108,m/s_mstc_ltd_kolkata,,12,6,17
1,DIRECT PURCHASE ,69456,30.09.2017,KARAIKAL,109,M/S.TAMILNADU_PAPERS_LTD_CHENN,,30,9,17
2,DIRECT PURCHASE ,45005,30.09.2017,KARAIKAL,109,M/S.TAMILNADU_PAPERS_LTD_CHENN,,30,9,17
1,M.V TOMINI DIGNITY,51311,17.11.17,ENNORE,110,M/S.MSTC LTD KOLKATTA,,17,11,17
2,M.V ARNICA,54050,17.11.17,ENNORE,110,M/S.MSTC LTD KOLKATTA,,17,11,17
3,M.V RINIA,50750,27.11.17,ENNORE,110,M/S.MSTC LTD KOLKATTA,,27,11,17
4,M.V MARY LINA,27700,28.11.17,ENNORE,110,M/S.MSTC LTD KOLKATTA,,28,11,17
1,M.V PUPPIS OCEAN,77000,01.02.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,1,2,18
2,M.V ATLAS B,75281,07.02.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,7,2,18
3,M.V DIONE,74736,19.02.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,19,2,18
4,M.V BUENOS AIRES,79600,02.03.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,2,3,18
5,M.V ESTELA CLAIRE,77000,06.03.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,6,3,18
6,M.V CENTAURUS OCEAN,77000,19.03.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,19,3,18
7,M.V CEMTEX WISDOM,76139,02.04.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,2,4,18
8,M.V SILVER PHOENIX,73460,10.04.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,10,4,18
9,M.V TOBA,78909,12.04.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,12,4,18
10,M.V IONIC KATANA,80646,26.04.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,26,4,18
11,TRANS OCEANIC,55660,06.05.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,6,5,18
12,M.V LUCKY STAR,74515,04.05.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,4,5,18
13,M.V APJ ANGAD 2,74847,09.05.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,9,5,18
14,M.V DRAGON,77800,16.05.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,16,5,18
15,M.V APJ KABIR ANAND,74250,19.05.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,19,5,18
16,M.V SHANDONG HAI XIN,73020,27.05.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,27,5,18
17,M.V NAVIOS LIBERTAS,68700,05.06.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,5,6,18
18,CEMTEX CREATION,77000,07.06.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,7,6,18
19,NAVIOS ORBITER,74100,11.06.18,ENNORE ,113,m/s_adani_global_pte_ltd_singa,,11,6,18
1,M.V EVER RELIANCE,54550,09.10.2018,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,9,10,18
2,M.V CL GEMMA,57620,14.11.2018,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,14,11,18
3,M.V TETON,52823,26.11.2018,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,26,11,18
